"","logFC","logCPM","LR","PValue"
"Ogfrl1",-6.99840835495404,6.8150890870363,2186.68232085788,0
"B3gat2",-8.89669201659015,3.29614954864434,1221.93538968101,1.04270812717609e-267
"Smap1",-7.3552711942955,6.21986573175664,1070.52956154099,8.39837658605678e-235
"Sdhaf4",-8.59876492752179,4.0395714087406,2466.04688529966,0
"Fam135a",-7.67797884401617,5.57562287182636,1248.08580878337,2.16312051687545e-273
"Col9a1",-11.0708119996494,-0.255074490606504,343.938501753659,8.8541992470345e-77
"Col19a1",-8.26569602515858,4.55533113657632,636.479393626631,1.94815703002984e-140
"Lmbrd1",-6.66410857303649,7.55746969266589,3541.64260020099,0
"Adgrb3",-6.93910690454497,6.89995196767366,2159.2016836911,0
"Gm9884",-12.8799702077944,-0.156739036884238,838.338624501936,2.49341474761809e-184
"Gm31465",-11.0794143885345,0.186418247510423,579.046624743523,6.04588028352085e-128
"Gm31525",-13.2651260980622,-1.62982239665202,221.635375670709,3.97806910675047e-50
"Gm39615",-18.3441557237947,-1.25787892507005,824.368768187183,2.71612983206339e-181
"Phf3",-7.06461658432372,6.77256280662194,3698.28657112246,0
"Ptp4a1",-7.86350036445474,5.29050666596404,2036.96421408599,0
"Khdrbs2",-8.27549519243735,4.1546518846597,344.31134035003,7.34436919127095e-77
"Gm9839",-11.7019950561557,-1.4210675186501,254.940097210781,2.17517971970788e-57
"Gm5415",-10.8859406187432,-0.394696677425581,112.883480738612,2.28835233053034e-26
"Prim2",-9.03406382295501,3.13743335191917,1222.96912197133,6.21594722578575e-268
"1700001G17Rik",-15.9272796516329,-1.08595272947932,538.477255065039,4.04299602467595e-119
"Rab23",-8.05313185601264,4.97284448505314,2966.17669932153,0
"Bag2",-9.12771028566661,2.99545103504913,1087.53014417583,1.69492593013374e-238
"Zfp451",-8.05362013343753,4.95865395157909,2944.2062767633,0
"Gm15455",-9.04102861812723,3.23454469592969,1495.32942577248,0
"Bend6",-7.08113337197645,6.7136767685072,2051.04558122153,0
"Dst",-6.05965263144013,8.66354644424121,1382.74514427751,1.18021860291089e-302
"Gm3052",-11.3786455951737,0.35391707954565,754.202844534749,4.89277487728962e-166
"LOC118567733",-9.4849170725916,2.25484671714893,462.368633106238,1.46702880495321e-102
"Ccdc115",-8.70640266056829,3.88467586359456,2206.33146804224,0
"Imp4",-8.5161139664108,4.25961818350189,2773.55085329113,0
"Ptpn18",-11.9021089337912,0.0714664353161709,689.954572099217,4.5726810579075e-152
"Amer3",-8.02630456296124,5.03180059333807,1941.97043567959,0
"Arhgef4",-6.53554249595575,7.67711641257223,1062.83139178049,3.95727188332446e-233
"Gm32790",-11.9882118122993,-0.393810128991283,457.429166089775,1.74322119426374e-101
"Fam168b",-6.27424341340942,8.31446795536496,3399.45337200753,0
"Plekhb2",-6.33170940282491,8.1296238675709,2267.64920357971,0
"Hs6st1",-7.36065075675112,6.15992523624504,1549.47259234178,0
"LOC118567736",-10.4656600422263,0.487641985249224,254.523377582569,2.68124908755091e-57
"Uggt1",-7.36101756398443,6.23046054157953,3552.12474702646,0
"Neurl3",-16.6752497321676,0.280867405883698,1913.10813176123,0
"Arid5a",-8.96209495077402,3.05423329699357,665.207136677509,1.10132826490818e-146
"Kansl3",-7.19095883943788,6.52072846453095,3411.68119598481,0
"Lman2l",-7.76500280180225,5.45946614338941,2902.47494752739,0
"Cnnm4",-8.47382542103228,4.09576593576682,1746.36309449316,0
"Cnnm3",-8.09781962380427,4.90440407123929,2863.60588197912,0
"Ankrd23",-9.58006233639826,1.83828655595272,310.154331162317,2.02117870390999e-69
"Ankrd39",-9.29981553538444,2.95791629436498,1764.25328081071,0
"Sema4c",-8.347615317962,4.50470474350088,1436.6122905584,2.32580489598234e-314
"Fam178b",-14.3214563441714,-1.13697168639115,328.291151215932,2.26453892072661e-73
"Cox5b",-7.73278628564345,5.54986467242592,3570.05952285377,0
"Actr1b",-6.34839940096127,8.16776153286937,2812.02187847507,0
"4933424G06Rik",-16.6625510941397,-1.23813146299509,847.01872871873,3.23371953915783e-186
"Gm33533",-9.48181780516311,2.4982080389707,705.914995163031,1.54688224058975e-155
"Zap70",-10.7858943415775,0.775169838301549,796.476435315408,3.14883290731243e-175
"Tmem131",-7.14608390988474,6.62482775950664,1862.98783061828,0
"Vwa3b",-11.0169874110571,0.245656945013505,520.871675621659,2.73462399380338e-115
"Gm37020",-11.6008795220439,-0.961903579684315,124.260854972485,7.38658549845052e-29
"Inpp4a",-6.71024117246656,7.3369928853864,1982.82098482181,0
"Coa5",-7.04078602469958,6.691744402351,1749.7881627776,0
"Unc50",-7.91432881049731,5.30005928049924,3816.54207895629,0
"Mgat4a",-7.65780745914742,5.59850614520499,2586.50618665931,0
"Cracdl",-6.21034735077402,8.43647349935199,2445.23638345476,0
"4930556I23Rik",-10.2707121944199,0.953017405636586,460.701640710745,3.38222410761719e-102
"Tsga10",-8.5173007687528,4.05645620445966,1574.97488259027,0
"Lipt1",-9.59530261715679,2.28180720705749,1057.59007565827,5.45261346760468e-232
"Mitd1",-9.23448974558665,2.85398691696916,1259.20975078281,8.27224994703868e-276
"Mrpl30",-7.93640215308878,5.18902617451652,2742.02747152875,0
"Txndc9",-7.99614460043613,5.18084893725191,4391.91899654532,0
"Eif5b",-7.12901685813267,6.67922500426932,3585.4404422162,0
"Rev1",-8.02808527789956,4.96611774987339,2128.7538002343,0
