"","logFC","logCPM","LR","PValue"
"Gm9839",-11.853019239009,-1.4210675186501,122.153981565561,2.13599809216279e-28
"Gm5415",-11.1366776413118,-0.394696677425581,151.437309080402,8.41022913736058e-35
"Prim2",-9.0233457642971,3.13743335191917,1194.78036119406,8.31140244289113e-262
"1700001G17Rik",-15.9028700258049,-1.08595272947932,519.992570881839,4.24774261873311e-115
"Rab23",-8.07100937546069,4.97284448505314,2982.01539296122,0
"Bag2",-9.13569964972181,2.99545103504913,1092.75795694458,1.23852897072735e-239
"Zfp451",-8.11412464104798,4.95865395157909,3021.47629750985,0
"Gm15455",-9.05237687320752,3.23454469592969,1499.88890749747,0
"Bend6",-7.11259283117905,6.7136767685072,2085.76778481618,0
"Dst",-6.1441681453611,8.66354644424121,1447.7343180135,8.90806485865776e-317
"Gm3052",-11.3930110152019,0.35391707954565,770.650141050598,1.29836809752675e-169
"LOC118567733",-9.48636616432932,2.25484671714893,461.78767471567,1.96274553100069e-102
"Ccdc115",-8.7772564086542,3.88467586359456,2271.92114451267,0
"Imp4",-8.52161025240674,4.25961818350189,2764.50658516883,0
"Ptpn18",-11.9029458580367,0.0714664353161709,671.406617330857,4.9397877758496e-148
"Amer3",-8.00818794217619,5.03180059333807,1907.93315632626,0
"Arhgef4",-6.64952544142225,7.67711641257223,1130.66415822478,7.14969618222643e-248
"Gm32790",-12.199706061352,-0.393810128991283,503.018983014435,2.09461611144097e-111
"Fam168b",-6.26806096622888,8.31446795536496,3380.97651516162,0
"Plekhb2",-6.39463370648648,8.1296238675709,2345.98838677752,0
"Hs6st1",-7.33401683449631,6.15992523624504,1518.97552742845,0
"LOC118567736",-10.4654675873377,0.487641985249224,239.494705227471,5.06853923759008e-54
"Uggt1",-7.39350719654887,6.23046054157953,3604.4829921518,0
"Neurl3",-16.6189537017859,0.280867405883698,1875.83290225134,0
"Arid5a",-8.95798732661108,3.05423329699357,648.799971720187,4.07468500006929e-143
"Kansl3",-7.20747828857366,6.52072846453095,3436.79780117447,0
"Lman2l",-7.8101218917752,5.45946614338941,2963.3498907149,0
"Cnnm4",-8.57284699003756,4.09576593576682,1835.12812812757,0
"Cnnm3",-8.09613597787983,4.90440407123929,2830.17801576509,0
"Ankrd23",-9.66966278119675,1.83828655595272,331.561661582965,4.39195394025148e-74
"Ankrd39",-9.31120071956126,2.95791629436498,1762.36360730376,0
"Sema4c",-8.22355455591038,4.50470474350088,1329.25918735688,4.95272340982668e-291
"Fam178b",-14.5539721567667,-1.13697168639115,345.840880022159,3.41084653424951e-77
"Cox5b",-7.79347163821704,5.54986467242592,3668.12674630229,0
"Actr1b",-6.3364650439649,8.16776153286937,2787.87810847261,0
"4933424G06Rik",-16.585776753385,-1.23813146299509,436.836727723233,5.28325732141273e-97
"Gm33533",-9.30755523167407,2.4982080389707,619.006349659448,1.22990838191011e-136
"Zap70",-10.8384892686142,0.775169838301549,810.45457640717,2.87783782383526e-178
"Tmem131",-7.03687730401557,6.62482775950664,1749.57116255743,0
"Vwa3b",-11.0157599993043,0.245656945013505,493.975191799542,1.94474524076285e-109
"Gm37020",-11.886243849101,-0.961903579684315,161.017919010845,6.78031025106161e-37
"Inpp4a",-6.81967907895992,7.3369928853864,2101.57652939574,0
"Coa5",-7.19875484938778,6.691744402351,1900.13936748543,0
"Unc50",-7.88587429546596,5.30005928049924,3726.20579030533,0
"Mgat4a",-7.74467469816428,5.59850614520499,2700.48196298188,0
"Cracdl",-6.19566089354891,8.43647349935199,2421.21281822627,0
"4930556I23Rik",-10.4010475377296,0.953017405636586,507.693762843305,2.01366881144687e-112
"Tsga10",-8.59094406569717,4.05645620445966,1632.25228935908,0
"Lipt1",-9.71066405113263,2.28180720705749,1121.42349195571,7.28872574173331e-246
"Mitd1",-9.29699429690204,2.85398691696916,1295.18611179942,1.25703857850432e-283
"Mrpl30",-7.94532250833909,5.18902617451652,2746.84439535778,0
"Txndc9",-8.04106378629375,5.18084893725191,4463.2143509666,0
"Eif5b",-7.1293877859366,6.67922500426932,3568.16566767568,0
"Rev1",-8.00200281781501,4.96611774987339,2079.70868921738,0
"Aff3",-7.76184169369816,5.57848759505898,3028.79770686683,0
"Gm16150",-16.005615338377,-1.05658146881368,571.986152040049,2.07623516340685e-126
"Gm16152",-11.3736408049912,-1.72708099203199,62.4982803583955,2.66677391850123e-15
"Lonrf2",-6.68046435886095,7.52974527941512,2817.96632285446,0
"Chst10",-7.41264271351255,6.2217561416333,2506.30113055904,0
"Pdcl3",-8.29770987559422,4.69110781692399,3491.36272415691,0
"Npas2",-8.00043639627522,5.32384955365731,501.17106007135,5.28654399868823e-111
"Rpl31",-9.23286716059301,2.98807715152094,1101.55482070451,1.51688817482997e-241
"Tbc1d8",-7.67941263420552,5.91304978935286,359.605472972052,3.43155697550125e-80
"LOC118567738",-10.6710125414351,0.946145630694025,751.648388072772,1.75785553324601e-165
"Cnot11",-8.11425991427505,4.93269101889711,3558.3476979714,0
"Snord89",-17.9635308652896,-0.744546993219223,1210.06226409737,3.96730884155164e-265
"Rnf149",-7.97447760026024,5.15791856540902,2388.36249494793,0
"Creg2",-6.63623905474522,7.37505120635381,1103.35119459165,6.17337621498388e-242
"D930019O06Rik",-9.27799894143799,2.19838274938929,196.143541391365,1.45023232559602e-44
"Map4k4",-6.46670429145682,7.85553542052229,2093.92083623355,0
"Gm16894",-11.3598395533499,0.778888495174452,886.048668549271,1.05851928892177e-194
"Il1r2",-12.3061540950268,-1.21979857158808,185.730841936844,2.71800674574943e-42
"Il1r1",-9.76425665528526,1.93538660904276,692.877465407089,1.0581746654877e-152
"Il1rl2",-10.9031407112129,0.371837309851654,517.692507561649,1.34452707499696e-114
